"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
DE SAISSET MUSEUM,ASSISTANT PREPARATOR,EXHIBITIONS,"SANTA CLARA, CA",USA,,20,20,C,35,NONE,2004,10,N/A,M,CAUCASIAN,,,
[Academic Museum in rural New England],Senior Curator,Art,,United States,"$90,000 ",2013,"$110,000 ",P,,Y,2019,12,,M,White,PhD,,
Smithsonian Institution,Chief Wooden Objects Conservator,Conservation Analytical Laboratory,"Suitland, MD",USA,"$30,000 ",1984,"$42,000 (1990)",P,,"Majority health insurance, contribution to retirement, paid vacation and sick time to a limit",1990,12,none?,M,mostly caucasion,masters or equivalent,n/a,
[Self],all of them,,New York,NY,$0.00 ,"$1,994.00 ","$200,000.00 ",C,,,2019,25,,M,,,,
[Northeast Ohio],Exhibition Designer/Preparator,Curatorial,Kent,USA,33000,2006,56540,P,,Yes,2019,32,Yes. Domestic Partner,M,Option 1,BA/BFA,,
Huntington Library and Art Collection,Preparator,Art Collections,San Marino ,US,20.00 par hour,2017,22.00 per hour ,H,25-30,No,2019,35,No,M,,BFA,No,
Boston MFA,Photographer,Intellectual Property,Boston,USA,"28,500",1999,"49,500",C,,Yes,2019,36,,M,Caucasian,,,
Boston MFA,Photographer,Intellectual Property,Boston,USA,"28,500",1999,"49,500",C,,Yes,2019,36,,M,Caucasian,,,
SFO MUSEUM,MUSEUM PREPARATOR,EXHIBITIONS,SAN FRANCISCO,CA,19,2006,28.5,"H,P",40,"MEDICAL, DENTAL, VISION, PENSION, ALLOWANCE FOR STEEL TOE BOOTS EVERY 2 YEARS, 10% OFF AT AIRPORT CONCESSIONS",2014,20+,"USE UP ALL YOUR PTO FIRST, THEN TAKE FMLA & EED (UNEMPLOYMENT)",M,,,,
[Midsize historic site in upstate NY],Education Manager,Education,,USA,"$32,000 ",,"33,000",P,,Y,2019,,,M,White,B.A.,,
Gladstone Gallery,Registrar,,,US,"$50,000.00 ",,"$50,000.00 ",P,,,,,,M,White,,,
South Carolina State Museum,Admissions Manager,Operations,,US,"$36,600.00 ",,"$41,500.00 ",P,,,2019,,n/a,M,,,,
[World Heritage Site],Research Associate,Education,,Germany,46.00€,2018,53.00€,C,40,Health insurance (50%),2019,7,everyone,"m, he",caucasian,MA,,salary according to collective agreement (union-negotiated)
"[Biennial Foundation,  about 10 full-time employees]",Associate Curator,Curatorial,,USA,"40,000",2019,"40,000",,,"Health Insurance, vacation time, sick time, and travel stipend",2019,0,,Male,Caucasian ,MA,,
"[Major gallery in Zurich, Switzerland]",Intern,,Zurich,Switzerland,13'000,2017,13'000,C,Full-time for 6 months,No,,0,,Male,Caucasian,BA,,
Dulwich Picture Gallery,Gallery Assistant,Operations,London,UK,£10.55,"$2,019.00 ",£10.55,H,36,,2019,0,Yes,Male,White British,NA,NA,"Decent culture, breaks, holiday, and sick pay. London Living Wage Employer"
[Art Gallery - Atlanta],Gallery Director,"Administration, Sales",Atlanta,USA,"28,500","$2,017.00 ","31,000",P,NA,No,2019,1,,Male,Caucasian,Bachelors,NA,Commission on sales (3% gross profit)
Eyebeam,Communications Manager,,"New York, NY",US,"$50,000.00 ",,"$50,000.00 ",P,,Yes,2016,1,,Male,Asian,BA,No,
NYU Tisch School of the Arts,Lab Technician,Photography & Imaging,New York,USA,"$48,000 ","$2,016.00 ","$51,000 ",H,,"Excellent union contract with yearly raises of 2-3%, job protection, various perks. Affordable and comprehensive medical/dental/vision insurance including mental health care, defined benefit pension plan, tuition remission.",2019,1,"6 weeks, all employees eligible without regard to gender",Male,White,"High school diploma required, BFA encouraged",Unknown,Generally a really great place to work
Tate ,Production Assistant,Learning,London,UK,£1940,"$2,017.00 ","$22,450.00 ",P,,Standard UK ,2019,1,"Standard UK, both partners",Male,English,N/a,N/a,
[East Coast University Museum],Curatorial Intern,,,,$20/Hr,2019,$20/Hr,"H, C",19.9,None,2019,2,,Male,Caucasian ,BA,,
[Major swiss private Art Museum],Art Shop employee,Art shop,,Switzerland,28'800,2019,2019,H + C - 28 CHF / hour ,20,No,2019,2,x,Male,Caucasian,BA,X,
Brooklyn Museum,Access and Adult Learning Fellow,Education,Brooklyn ,USA ,"$22,000 ",2018,"$22,000 ",C,35,None,2019,2,,Male,Option 1,BA,,"I’m the first and only disabled person who identifies publicly and politically as disabled working in the education division. I am over worked and underpaid and accommodations have been hard fought for after HR initially said no. This is all to say that the low salary of the fellowship is unsustainable and is part of furthering the disablement of myself, and is also prohibitive to many disabled people who might want to work in the field. I have privileges of being from nyc so I could make the salary work by staying for free at friends’ and family homes, but this is an element that I think should also be made transparent. How many disabled employees are there in our cultural institutions? "
Eyebeam,Curator,,"New York, NY",US,"$30,000.00 ",,"$30,000.00 ",P,3 days/wk,Yes,2017,2,,Male,Asian,BA,No,Negotiated change in title because raise was impossible; useless white consultant brought in at higher rates in process
Institute of Museum and Library Services,Administrative/Project Specialist,Office of Museum Services,District of Columbia,United States,"$54,972 ","$2,017.00 ","$56,472 ",P,,Full federal benefits,2019,2,12 weeks unpaid leave under FMLA,Male,White,,No,
Longwood University,Assistant Professor,Art,Farmville,USA,55000,2018,55000,,,"Health, 401k",2019,2,"3 months, wife",Male,Minority,Mfa ,,
Philadelphia Museum of Art,Development Services Coordinator,Development,Philadelphia,United States,"$33,800 ","$2,018.00 ","$33,800 ",P,,"Medical, Dental, Vision, 403(b) with matching, etc.",2019,2,,Male,White/Caucasian,Bachelors Required,,
The Phillips Collection,,Museum Supervisor,Washington DC,United States,16.25,2016,18.25,Hourly,30,No,2019,2,N/A,Male,,High School,No,
Theatre Under The Stars ,Graphic Designer,Marketing ,Houston ,United States,"$38,000.00 ","$2,018.00 ","$38,000.00 ",P,,Yes,2019,2,Not sure,Male,Hispanic,Bachelor's ,Not sure,
[History/Natural Science museum in the Midwest],Marketing Manager,Marketing,,United States,"$38,000 ",2016,"$40,000 ",H,,"Health, dental, vision",2019,3,,Male,White,Bachelor's,,
[intentionally left blank],Gallery Manager,,New York,New York,"$42,000.00 ","$2,017.00 ","$42,000.00 ",P,,"healthcare, retirement, life insurance",2019,3,,Male,Latinx,MFA/MA,,
[Large Midwest encyclopedic art museum],Freelance Preparator,,Chicago,USA,20/hr,,20/hr,H,,Retirement,2019,3,,Male,White,,,
[Science Museum Philadelphia],Program Assistant ,Research Center,Philadelphia,United States,33000,2015,35500,P,,"Full Benefits, healthcare, retirement, paid time off, sick days, maternity/paternity leave",2018,3,"All new parents, including adoption, unsure length more than 2 weeks",Male,"White, non-hispanic ","BA, and MS, did not pay can help with furthering education",Unsure,"Like most institutions when there is a lot of funding and grants are available it is a wonderful place to work. In these times there are great employee perks, like coffee, flexibility with work hours, freedom to explore, extended lunch breaks, happy hours hosted by senior staff members, small gifts like the ability  to leave early on holiday weekends, onsite Thursday yoga, and great talks with catered food for the public. The stronger the mission the better the organization. When the mission is obscure and funding runs out there is less of an ability to explore with as much leeway and freedom as before. It is harder to give staff raises and pay them for their hard work. Promotions are halted and only lateral moves are available. Perks that are easy to justify when there is lots of money are missed by staff members. When the going gets tough, the tough get going. It is hard to replace or retain valuable staff when the compensation is poor and staff members have other alternatives in greener pastures. With that said colleagues at the junior level were amazing, brilliant, talented people who have since moved on and are thriving in their new environments. "
[Small Museum with 1 employee],Associate Director ,Administration ,Philadelphia ,,"30,000",2019,"30,000",C,30,None.,2019,3,N/a,Male,White,N/A,,
[Southeastern History Museum],Educator/Front Desk/Interpreter/Tour Guide,Public Programs,,USA,$12/hr,"$2,015.00 ",$13/hr,H,20/wk,None,2019,3,,Male,White,College Degree,,
Artist Studio,Studio Manager,,London,UK,$10.63 ,"$2,015.00 ",$13.13 ,H,16,None,2019,3,,Male,White European,,,
Crystal Bridges Museum of American Art,"Assistant Curator, Special Projects",Curatorial,"Bentonville, AR",US,"$55,000.00 ",,"$57,750.00 ",P,,,2013,3,,Male,White,,,
"Museum of Science, Boston",Education Associate,,,US,$15/hr,,$17/hr,"H, P",,,2019,3,,Male,White,,,
Philadelphia Museum of Art,Graphic Designer,Editorial and Graphic Design,Philadephia,USA,"45,000",2017,"46,125",P,,"Health, dental, vision, 403b with employer matching opportunities, PTO including personal, sick, and vacation",2019,3,Yes,Male,Option 1,BFA,,
The Dali Museum,IT,IT,Saint Petersburg,United States,"40,000",2016,"40,000",Hourly,40,"Medical, Dental, Vision",2019,3,"No one, Mothers have to use  PTO",Male,White,BA in Information Technology / Already had a BA in Business Admin,N/A,"I begged for three years for a raise and was denied each year, but they kept adding more responsibilities to my role.  They are very top heavy in salary.  The Executive Director makes over $400,000 and the other directors make $80,000 plus but the people directly below them make $30,000 to $40,000.  I saw in my 3 years there over 20 people leave because of over work and under paid.  "
The Lily and Earle M. Pilgrim Art Foundation,Director,,DC,US,"$20,290.00 ",,,P,,None,2018,3,,male,white,,,
The Phillips Collection ,Public Programs Manager,Public Programs,Washington,United States,"$50,000 ","$2,019.00 ",,P,,,,3,,Male,Latin ,Bachelors ,,
"[Eastern MA, 15 staff]",Registrar/Preparator,Collections/Exhibitions,,US,18/HR,2016,19.78/HR,H,32-40,Not eligible,2019,3.5,,Male,Caucasian,BFA,,"100+ year old organization, departments are one staff each except bookstore. I manage the permanent collection and exhibition installations."
Artech,Art handler,Install,Seattle,Us ,17.50 per hr,36000,42000,H,,Yes,2019,3.5,Na,Male,Option 1,None,Option 1,
[Art Museum in the Soutwest],Art Handler,,,United States,22000,2017,22880,H,40,Yes,2019,4,FMLA,Male,White,BFA,,
[Art Museum],Preparator,Curatorial,Tampa Bay,USA,"21,000","$2,016.00 ","33,700",H/P,40,"401k (4% match), health insurance, parking stipend",2019,4,Unpaid maternity leave,Male,,HS Diploma,,I have an MFA in Art (Studio)
[Large New England Art Museum ],Development Manager,Development,Boston,US,"$100,000 ","$2,015.00 ","$114,000 ",P,,Full,2019,4,,Male,White,BA,,
[Major Modern/Contemporary Museum in Bay Area],Assistant Registrar,Collections,,USA,"$45,000 ",,"$52,080 ",P,,Yes,2019,4,Yes,Male,Latinx,"No, but have MA in Exhibtion & Museum Studies",,
[State government],Conservator,Archaeology,North Carolina,United States,"36,500",2014,"38,800",Permanent,,Yes,2018,4,"Parental leave offered, both parents",Male,White,BA w/ experience of MA required,No,
Detroit Institute of Arts,Marketing & Social Media Manager,Marketing and Communications,Detroit,USA,"$35,000 ","$2,013.00 ","$42,000 ",(P),,"Middle-grade healthcare, 14 vacation days, 10 sick days",2017,4,4 weeks,Male,White / Mixed,Bachelors,,
Fort Heritage Precinct,Curator,Department of Culture,Fort Saskatchewan,Canada,73534,2018,74724,H/P,37.5,Yes,2019,4,"Up to 1 year. Either parent eligible, can be split.",Male,,BA,,
Lake Wales History Museum,Curator/Collection Manager,Museum,Lake Wales,Florida,16.23,2017,16.39,Hourly,,Yes,2019,4,,Male,Caucasion,Bachelor,,This museum is operated by the City of Lake Wales. Museum employees are city employees.
"Museum of Fine Arts, Boston",Development Officer,Development,Boston,US,"$54,000 ","$2,016.00 ","$56,000 ",P,,Full,2018,4,,Male,White,BA,,
Philadelphia Museum of Art,Department Assistant,Facilities,,US,$11/hr,,$15/hr,H,,Health and Dental,2019,4,,Male,White,Bachelors,,
"Yager Museum of Art & Culture, Hartwick College",Collections and Programs Manager,Collections,,USA,,,"29,000",,,,2017,4,PFLA (NY State) + FMLA,Male,White,M.A.  ,,Two paid employees. My position was put together from two part-time positions in 2017.
[Artist Studio],Studio Manager,,London,UK,"£30,000",2017,,P,,,,5,,Male,White,,,
[Living History Museum in Virginia],"Manager, Guest Experience & Design",Historic Area Admin,"Williamsburg, VA",USA,,,"$57,600 ",P,,"Yes, full benefit package",2019,5,No set policy,Male,"White, non-hispanic",Bachelors or equivalent years of experience.,,
[London gallery - 5 employees],Gallery Director,,London,UK,,,"30,000 GBP",P,,Pension,,5,,Male,White,MA,,
"[Midwest, corporation]",Archivist,Marketing,,United States,"$35,360/yr ($17/hr)",2014,"$59,000/yr",P,,Yes,2019,5,,Male,White,"Graduate degree in library/information science, no",,
[Philadelphia region museum],Manager,Education,West Chester,USA,19,2017,21.5,H,25,No,2019,5,No,Male,White,B.A,No,
[professional vocal ensemble],Business Manager,n/a,Miami,United States,53000,2019,53000,P,,Yes,2019,5,case by case,male,Latino,not required,not applicable,
[Regional medium-sized art museum],Registrar,,Seattle,United States,38000,,45000,,,Yes,2019,5,,Male,White,,,
[University Museum],Sr. Photographer,Digital,New Haven,United States,"$73,000 ","$2,018.00 ","$73,000 ",H,,"PTO, Health, Dental, Pension, Life Insc",2019,5,Yes,Male,,BA/BFA. Institution has tuition assistance program for 40%,Not for this position,
"Artpace, 501c3 non-profit, with 10-12 employees",Studio Manager,Studio and Fabrication,San Antonio,United States,"$28,000 ","$2,016.00 ","$30,000 ",H,H,"Paid vacation, medical and dental insurance, 401K ",2019,5,paternal and maternal leave available,Male,White/Latino,BFA preferred - institution does not help pay for furthering your education,"Not for employees, though it does for international artists selected for the residency program",
Cleveland Museum of Art,Gallery Guard,Protection Services ,,US,,,$10/hour,"P, Hourly, capped at 28",no benefits for part timers,no benefits for part timers ,2019,5,,male,white,none,,
CUNY,Adjunct Lecturer,Art History,New York,USA,$71 ,2017,$71 p/hr (9 hr/week cap),C,9 hours,"Teaching Adjuncts—must be teaching six or more contact hours in the semester, or an equivalent combination of teaching and non-teaching hours, and must have taught one or more courses for the two consecutive preceding semesters (not including Summer Sessions). Adjuncts who establish eligibility for health insurance benefits shall be eligible to receive benefits in the third consecutive semester. An adjunct shall lose eligibility if, in any semester, he/she teaches for fewer than six contact hours or works for fewer than 15 non-teaching hours per week, or a combined equivalent.",2019,5,FMLA,male,white,master's in art history required,,
Grand Army of the Republic Museum,Curator,Historical Records,Philadlephia,US,36000,2012,,42000,,None,2019,5,No,Male,White,None,,
Jazz at Lincoln Center,Analyst,Development,New York City,USA,"73,000","$2,019.00 ","73,000",P,,,2019,5,,Male,White,Masters,,
Metropolitan Museum of Art,"Editor, Digital Department",Digital,,US,"$65,000.00 ",,"$66,500.00 ",P,,,2017–18,5,,Male,White,,,
Milwaukee Art Museum,Audiovisual Technician,IT,,US,13/hr,,$13/hr,H,,no (see notes),2019,5,,Male,White,,,2% retirement contribution if employee works more than an average of 20 hrs per week over the course of the year
Minneapolis Institute of Art,Digital Marketing Specialist,Audience Engagement,Minneapolis,United States,54931.5,2016,58285.5,P,,Y,2019,5,FMLA,Male,White,BA degree required,,
Musée d'Orsay,Curator,,Paris,France,23500€ / 26400$,2014,26300€ / 29500$,P,,,2019,5,Yes,Male,Causasian,Institut National du Patrimoine diploma,No,
Napa Art Gallery,Operations Coordinator (Registrar),Art Operations,Napa CA,United States,$19.50 ,"$2,018.00 ",$20.50 ,H,40/wk,"Health, Vision, Dental",2019,5,12 week maternity,male,white,,,"very non-OSHA compliant. private galleries, smh"
Newark Museum,"Manager, Adult Public Programs",Education,Newark,USA,"50,000",2017,"50,000",,,Yes,2019,5,,Male,Black,B.A.,N/A,
Smithsonian American Art Museum ,Conservator ,Conservation,,US,"$63,722.00 ",,"$78,861.00 ",P,,,2019,5,,Male,White,MA,,
The Museum of English Rural Life,Programme Manager and Digital Lead,Whole organisation,Reading,United Kingdom,"29,698",2018,£32235,C,36,N/A,2019,5," 52 weeks' Maternity Leave regardless of length of service and hours of work. Statutory Maternity Pay is paid over the first 39 weeks of Maternity Leave at a rate of:  90% of your average weekly earnings (this figure is worked out at your Qualifying Week – see below) for each of the first 6 weeks of Maternity Leave, followed by  £145.18 per week (from 06 April 2018) - or 90% of your average weekly earnings if that is less than £145.18 per week – for the next 33 weeks.",Male,White British,MA Museum Studies or equivalent experience,N/A,This role no longer exists and has been split into two lower-graded roles.
UOVO Fine Art Services,Art Handler and Driver,Operations,New York City,United States,"40,000",2016,"68,000",H/P,,"Free healthcare, dental and vision",2019,5,"12 weeks full pay, full time employees",Male,Option 1,Bachelors,,
[Museum of arts],Head of fundraising,Direction of development,Paris,France,"27,600€",2017,"27,600€",Permanent,,None,2019,6,Yes (national one),Male,White,Master degreee,N/A,
[Non-Profit College Museum - Staff of six],Exhibition Designer & Preparator,Exhibitions,Lancaster,United States,"$30,000 ",2015,"$45,000 ",H,,"Medical, Dental, Optical & 401K",2019,6,Mothers - 12 weeks,Male,White,BFA + experiance,,
[University Art Museum in New England],Marketing and Public Relations Associate,External Affairs,Providence,Rhode Island,"32,000",2012,"38,000",H,35,"Medical, Dental, Retirement match",2019,6,Mother,Male,White,"B.S., Masters preferred",,
Art Institute of Chicago ,Development,External Affairs ,Chicago ,USA,"36,000",2018,"36,000",P,,"Health, Dental, Vision",2019,6,"Mother, Father",Male,Hispanic,Bachelor ,No,
California College of the Arts,Exhibitions & Public Programs Manager,Exhibitions,San Francisco,United States,$25.00 ,2015,$33.38 ,Hourly (H),37.5,"Health, vision, and dental.",2019,6,Unsure,Male,White,Bachelors and Masters,Unsure,
Cubitt Gallery,Programme Assistant ,Curatorial,London,UK,"£20,160 per annum / pro rata","$2,019.00 ","£20,160 per annum / pro rata",H,14 hours / per week,None,2019,6,None,Male,,Arts degree,None,
Sam Noble Museum of Natural History,Public Safety Officer II (Supervisor),Security,Norman,United States,$10.90 ,2014,$11.30 ,H,40,Retirement and medical/dental,2019,6,"limited paternal, 3 months maternal",male,white,N/A,N/A,"Have asked for a cost of living raise for the past 3 years, turned down 3 times"
Tate Galleries ,Art Handling Technician,Conservation,London,UK,£22000,,,P,,"Pension, 20% discount in Tate shops, overtime ",2019,6,,male,White Caucasian ,No,,
The Fabric Worshop & Museum,Education,,Philadelphia,United States,$12 ,2010,2012,H,40,No,2012,6,,Male,White,,,
[200 employees],Leadership giving coordinator,Development ,Los angeles,Usa,"48,000",2016,"55,000",P,,Full,2019,7,,Male,Latino,Bachelors,,
[35],Communications Coordinator,Marketing,Grand Rapids,USA,$12/hour,2017,$13.25/hour,H,20,Four days of PTO/year,2019,7,"12 weeks maternity leave, unpaid, and must exhaust PTO.",Male,White,High School,N/A,
[Large natural history museum in Australia],Content Producer,Marketing,Sydney,Australia,"82,000",2018,"$83,403 AUD",C,28,"9.5% superannuation, 20 days per year leave, 10 days per year personal leave",2019,7,,Male,,,,
[Mid-scale east coast art handling and storage company],Art Technician,Art Handling ,,US,$14 / hr,2016,$20 / hr,Hourly,35 - 45,"Basic medical, dental, and vision",2019,7,None,Male,White,None,None,
"[Midwest General Museum, 9FT, 6PT]",Education Director,Education,,US,"$42,000.00 ",,"$50,000.00 ",P,,"Full Medical, Dental, Vision",2019,7,,Male,White,"BA degree required, tuition reimbursement available for certain degrees",,"Municipal museum so benefits from city-wide departments (finance, legal, HR, etc.) and employee-funded healthcare"
[Missouri Historical Society],Digital Communications Manager,Communications,St. Louis,United States,"$35,500 ",2015,"47,500",P,,"Health, dental, vision, 5% retirement match, 10 days paid vacation",2018,7,,Male,Caucasian,Master's,n/a,
North Carolina Museum of Art,Art Handler,Registration,,US,"$35,900.00 ",,"$36,600.00 ",P,,Y,2019,7,,Male,White,Completion of high school and two year of relevant experience,,
The Metropolitan Museum of Art,Technical Manager,Education,New York,USA,60000,2014,65000,Permanent,,"5 weeks paid vacation time, sick time, FMLA",2019,7,,Male,Option 1,,,"14 hour workdays not uncommon, weekend work not uncommon, never eligible for comp time"
[Historic House Museum - Inland NW],Museum Curator,,,USA,"$28,000.00 ","$2,014.00 ","$40,000.00 ",Permenant,,Yes,2019,8,None,Male,American,M.A.,,
[Mid-Sized History Museum],Director of Public Programs,Learning / Education,Pittsburgh,United States,"56,000",2018,"60,000",P,,"Health, dental, vision, 3% retirement match, 15 days paid vacation",2019,8,,Male,Caucasian,Master's Degree,n/a,
"[Midwest, Nonprofit Historical Society/Museum, 25+ Employees]",Curator,Education,"Louisville, KY",United States,"43,000","$2,017.00 ","44,290",Permanent,,"Vacation, PTO, Health, Vision, Dental, 3% IRA match",2019,8,"After one year of employment: 6 weeks maternity, 3 weeks paternity",Male,White,"Bachelors required, masters preferred ",,
[Midwest/Art Museum/6],Exhibition Technician,Exhibition,,United States,23000,2010,29000,P,,"Health Insurance, Retirement match 6%",2016,8,,Male,,B.A.,,
[University Art Museum - South],Curator,Curatorial,,USA,63500,2019,63500,P,,Yes,2019,8,,Male,Option 1,PhD,,
MoMA,Curatorial Assistant,Architecture & Design,Nyc,Usa,"25,000","$2,000.00 ","50,000",,,Yes,2008,8,Females,Male,Hispanic ,"BA, yes for continuing studies a subsidy",,
Philadelphia Museum of Art,Associate,Membership and Visitor Services,Philadelphia,United States,"$50,000.00 ","$2,019.00 ","$50,000.00 ",P,,"Vacation and personal days, 403b match, sick time, health, dental",2019,8,,Male,Caucasian/White,,,
"[History Museum, 77 employees]",Curator of Collections,Collections,"Flint, Michigan",US,"$48,000.00 ","$2,018.00 ","49,440",P,,Yes,2019,9,,Male,White,MA,,
"[Non-Profit Artist's Foundation, 4 employees]",Curator/Collections Manager,Collections/Exhibitions,New York,USA,60000,2014,65000,Permanent,,"5000/yr for health insurance, 3 weeks vacation/sickleave",2019,9,not-defined,Male,White,Institution pointedly refused to pay for furthering my education,,
American Museum of Natural History,Astronomical Artist,Hayden Planetarium,New York,US,"33,000",1987,50000,P,,"health insurance, sick leave, vacation, pension",1996,9,,male,white,none required. BA preferred,no,
[Art & Historical Museum - Ontario],Lead Designer,Academic,London,Canada,"46,000",2015,"50,000",,,Yes,2019,10,Partial Paid leave - Govt,Male,White,Bachelors,,
[Bay Area University art museum],public program manager,Education,SF Bay Area,USA,"38,000",2008,"58,000",P,,full benefits,2019,10,,male,white,BA required,,
[Large museum in American West],Archivist,Archives,,United States,"31,000",2010,"62,000",P,,Yes,2019,10,no,male,white,Master's Degree,n/a,
[Science Museum],Exhibit technician,Exhibits,NYC,USA,42000,2018,42000,P,,Yes,2019,10,,Male,Anglo,,,
Arts of Life (~19 person non profit),Art Director ,Art,Chicago,US,"$38,000.00 ",,"$42,500.00 ",P,,"Medical, Dental, Plenty of sick + vacation time. ",2019,10,,Male,Hispanic/White,BA,,
Dalhousie Art Gallery,Assistant Curator,Gallery,Halifax,Nova Scotia,18928,2010,37560,C,"annual contract, 30 hours per week",Health and RRSP (%5 annual maximum),2019,10,No,male,Option 1,Bachelor of Arts (fine/visual art),,"above salary figures in CAD, starting salary (2010) was for 25 hours p/wk"
Getty Trust,Assistant Curator,Curatorial,Los Angeles,USA,,,"$74,000.00 ",P,,Comprehensive,2017,10,,Male,,,,
Metropolitan Museum of Art,Managing Editor,Digital,New York,USA,"$55,000 (for initial role of website editor)","$2,014.00 ","82,800",P,,Y,2019,10,,Male,White,Bachelor's degree,,
Museum of Contemporary Art San diegi,Preparator,Curatorial,San Diego,Usa,11,2012,16,H,40,Yes,2019,10,Yes mother,Male,White,None,,
Neue Galerie,Art Handler,Registrar,New York City,USA,28.5,2017,28.5,H,40,None,2019,10,None,Male,White,,,Whether or not a union is part of a job should be part of the form; it's why so many high level MoMA employees feel empowered to state their salaries. They're union. Same with NGA employees.
Seattle Art Museum,Coordinator,Development ,,US,"$31,000.00 ",,"$41,000.00 ",H,,,2019,10,,Male,W,,,
Smithsonian,IT Project Manager,IT,"Washington, D.C.",USA,"74,000","$2,017.00 ","80,000",P,,"Pension, 401K w/matching 5%, Medical",2019,10,not sure,Male,White,,,
[College Art Gallery less than 10 full time staff],Manager,Exhibitions,New York,US,"65,000","$2,016.00 ","73,000",P,,"Medical, dental, 100% 401k up to 5%, paid parental leave, tuition waver ",2019,11,8 months 100% pay for both parents by birth or adoption,Male,White,Bachelors,no,
[Large Los Angeles Art Museum],Senior Financial Analyst,Finance,Los Angeles,USA,46000,2008,89000,P,,"Pension, Health, Dental, Vision, Life",2019,11,,Male,,Bachelor,,
[NPO Art Gallery/Non-Profit/North West England],Technical Manager,Exhibitions,,,£23500,2013,£25450,P,,,2019,11,,Male,White,N/A,N/A,
Oregon College of Art and Craft ,Department Head,Ceramics,"Portland, OR ",USA ,47K,2913,51K,Permanent ,,"Health, dental",2019,11,? ,Male,Option 1,MFA ,,Northern European descent 
[UK National Museum],Assistant Registrar,Curatorial,,UK,"£25,000","$2,012.00 ","£30,000",P,,"sick leave, bereavement leave, family leave, research leave, secondment opportunities, funding for professional development, decent pension (at the moment), good unions",2019,12,"(female) 52 weeks maternity leave, 20 weeks full pay, followed by statutory allowance.  (male) two weeks full pay.  Shared Parental Leave policy whereby the 52 weeks can be split between partners (at the statutory rate).  Requires 26 weeks service for statutory entitlement, and one years service for full pay maternity leave",male,white,BA / MA in relevant field,if required,
Penn Museum (University of Pennsylvania Museum of Archaeology and Anthropology,Associate Director,,Philadelphia,USA,$15/hour,,"$52,000 ",P,,Yes,2019,12,,Male,White,"Masters, Yes",,
Yerba Buena Center for the Arts,Chief Preparator,Visual Arts,San Francisco,United States of America,"$60,000 ",2014,"$70,000 ",permanent,,Yes,2019,12,unsure,male,white,BFA or equivalent,,
American Museum of Natural History,Manager for Science Visualization,Hayden Planetarium / Rose Center for Earth & Space,New York,US,"60,000",1997,"75,000",P,35 hrs/week,"health, sick leave, vacation, pension",2000,13,,male,white,none required. preferred BA,no,
American Museum of Natural History,Manager for Science Visualization,Hayden Planetarium / Rose Center for Earth & Space,New York,US,"60,000",1997,"75,000",P,35 hrs/week,"health, sick leave, vacation, pension",2000,13,,male,white,none required. preferred BA,no,
Dennos Museum Center,Curator of Education,Education,"Traverse City, MI",USA,"38,000",2012,59000,P - Salaried,,"Yes - Healthcare, Dental, Vacation, Sick Days",2019,13,"Up to one year un-paid, after paid leave is used up",Male,White,BS required,,"College-wide salary adjustment occurred in 2013, resulting in significant increase in salary for this position."
"[Art Museum, Southeastern United States]",Associate Curator,Photography,,USA,"$50,000 ",2016,"$62,500 ",P,,"Health insurance, 403 (b)",2019,14,,Male,Option 1,Masters,,
[Large Universtiy Library],Head of Photography and Licensing,Digital,,UK,"$44,800.00 ",,"$60,000.00 ",P,,,final,15,Yes (all),Male,,,,
[Large Universtiy Library],Digital media producer,Digital,,UK,"$27,000.00 ",,"$33,000.00 ",P,,,final,15,Yes (all),Male,,,,
[Mid-size NW academic art museum],"Imaging, IT, Website",Collections,,USA,25000,2006,45000,P,,Yes,2019,15,"Yes, both parents",Male,White,BA required,,Multiple roles in a single position
"[Northeast, History Museum, 75+]",Exhibit Designer,Exhibitions and Collections,"Cooperstown, NY",United States,"45,000","$2,008.00 ","52,000",Permanent,,"Health, Matching 401k, PTO",2016,15,"3 weeks (maternal), 1 day (paternal)",Male,Caucasian,BFA/no assistance,,
[Nyc small science museum],Interactive exhibit  designer / builder/ maintenance,IT/digital,New York,United States,85000,,85000,P,,Health insurance,,15,None,Male,,Masters,,
